Age,Experience_Years,Last_Year_Rating,Training_Hours,Promotion
22,26,1,46,0
35,28,3,55,1
31,8,5,68,0
28,7,2,80,0
46,25,4,60,1
25,27,2,84,1
26,25,5,45,0
46,16,5,36,0
24,1,2,19,0
39,24,4,66,1
40,23,2,31,0
53,29,5,32,0
40,2,5,85,0
32,7,3,68,1
21,11,3,63,0
46,0,1,62,0
34,9,5,6,0
58,19,3,40,1
57,2,2,75,0
31,5,4,17,0
56,6,2,19,0
33,19,4,93,1
23,22,3,91,0
53,24,1,64,0
26,26,2,26,0
30,17,2,67,1
25,10,2,94,0
43,18,4,79,1
30,4,3,78,1
22,18,2,29,0
33,10,2,52,0
22,23,1,47,0
40,11,1,42,0
21,9,3,45,0
57,7,3,49,0
29,23,5,92,1
37,27,1,44,0
29,27,5,21,1
31,8,4,92,0
35,3,5,61,0
44,4,2,6,1
58,20,5,66,1
55,7,3,92,1
50,22,4,13,0
51,8,2,72,0
25,14,5,85,1
34,14,4,21,0
31,15,4,54,0
29,13,2,98,1
54,7,5,44,0
32,17,4,62,1
55,9,4,79,1
55,27,1,89,1
21,19,4,25,0
42,5,1,22,0
49,11,5,59,1
28,1,5,33,0
31,6,5,28,0
57,15,3,78,0
34,2,5,21,0
50,12,4,22,1
55,2,2,46,1
41,26,1,88,0
57,17,3,49,0
25,10,5,86,1
39,7,5,21,0
34,5,2,77,1
46,0,2,18,0
24,27,3,53,0
45,0,1,33,0
45,22,5,99,1
38,7,3,8,0
28,4,4,86,0
59,27,4,24,0
34,15,3,51,1
52,10,5,13,1
58,4,3,81,0
53,3,5,83,0
43,29,2,31,0
35,5,3,19,0
53,13,5,96,0
45,21,3,23,0
37,18,3,94,0
53,8,5,56,0
22,11,5,30,0
34,10,1,93,1
59,13,3,30,0
26,22,4,30,0
26,15,3,50,0
23,0,3,96,0
27,12,5,53,0
28,22,3,86,1
35,20,3,57,0
49,20,4,7,0
53,29,5,70,0
50,12,3,46,1
59,1,2,23,0
47,3,1,21,0
56,27,4,37,0
49,5,3,80,0
58,25,2,53,1
53,26,3,60,1
57,22,3,67,0
47,26,5,7,0
53,4,5,53,1
24,24,5,59,0
42,2,2,30,0
22,0,3,76,1
30,3,1,56,1
25,24,4,11,0
30,19,5,50,0
53,1,5,50,0
58,25,3,20,1
33,29,3,28,0
51,29,2,65,0
56,4,2,58,0
44,2,5,66,0
35,28,3,5,0
49,27,1,53,0
28,28,4,29,0
25,8,3,14,0
49,19,3,84,1
24,5,2,20,0
32,17,4,62,1
22,5,5,76,1
47,18,3,33,0
51,27,5,96,1
56,11,3,10,1
56,24,5,20,0
46,10,4,24,0
47,1,2,84,0
25,14,4,75,0
40,11,1,82,1
31,11,2,47,1
30,8,4,30,1
58,20,1,94,0
26,23,3,82,0
28,1,3,75,0
43,21,5,37,0
46,2,2,30,0
32,11,3,49,0
46,27,2,88,1
33,29,3,67,0
38,25,5,71,0
45,15,4,56,0
53,20,5,72,0
32,27,1,30,0
56,23,3,79,1
24,25,1,6,1
25,29,1,18,1
57,0,2,34,1
28,20,3,53,0
48,2,1,16,0
51,19,4,94,0
29,1,1,48,0
49,8,4,37,0
34,18,2,17,1
42,14,1,82,0
31,17,5,92,1
43,25,2,30,1
21,10,4,25,0
57,24,2,32,0
41,22,1,52,0
46,15,3,44,0
56,21,3,70,0
43,16,4,77,1
21,4,4,91,0
35,11,3,83,0
41,10,4,81,1
29,29,2,27,0
29,14,5,85,0
30,26,5,52,0
46,2,2,6,0
55,0,5,88,0
45,19,1,24,1
46,28,2,63,0
31,15,4,50,0
58,1,2,7,0
22,1,3,59,0
27,2,4,16,0
38,7,3,44,0
47,23,4,70,0
54,27,5,82,0
47,14,2,20,0
37,6,1,87,0
44,5,4,38,0
45,8,4,48,0
27,19,3,10,1
26,27,5,81,0
44,0,3,68,1
53,7,3,26,0
49,22,5,22,0
42,22,1,16,1
46,2,3,56,0
48,3,3,98,1
41,25,4,55,0
27,24,5,75,1
37,14,2,52,1
40,5,1,23,0
40,14,1,10,1
42,20,5,88,0
48,2,4,31,0
27,24,4,57,0
21,20,5,52,1
52,20,4,11,0
33,13,1,63,0
50,19,1,73,1
43,13,2,15,0
39,3,5,19,0
52,11,3,68,0
50,16,3,7,0
49,6,2,73,0
49,8,2,27,0
50,2,4,57,0
36,27,2,41,0
39,12,2,13,1
38,14,3,19,1
21,17,4,7,0
34,18,2,97,0
22,0,2,74,0
48,5,4,21,0
50,26,5,30,1
58,26,4,25,0
24,22,3,76,0
21,26,5,25,0
28,26,1,15,0
49,1,4,42,0
59,23,3,76,0
23,13,5,92,0
52,5,4,39,0
30,13,2,18,1
30,3,4,18,0
39,20,1,14,0
54,7,4,16,0
53,29,5,42,0
43,2,5,38,0
48,18,4,45,0
52,29,5,14,0
27,13,2,21,0
49,26,4,21,0
28,19,2,71,0
21,16,2,66,0
23,24,3,99,1
44,7,4,5,0
43,23,5,16,0
28,13,2,8,0
57,25,3,46,1
23,5,4,17,1
53,22,4,89,1
48,21,1,90,0
28,15,1,8,0
54,24,2,86,1
55,18,1,73,0
52,13,2,23,0
44,18,5,6,1
34,2,2,16,0
52,9,1,85,0
36,18,5,78,0
24,8,1,10,0
57,27,2,12,0
41,19,3,55,0
34,12,4,15,0
51,6,1,67,0
38,13,2,61,1
27,8,5,16,0
30,26,1,77,0
27,27,1,6,1
53,22,4,12,1
43,24,2,15,0
41,27,3,57,1
39,18,5,14,1
39,14,2,89,1
56,19,5,88,0
49,13,1,12,0
38,23,4,40,1
22,5,4,97,0
21,20,3,80,0
25,28,4,18,0
40,3,1,58,0
31,7,3,89,0
22,16,2,90,1
23,29,4,25,0
43,8,3,54,0
32,0,1,98,1
40,23,5,43,0
25,19,5,24,0
57,24,1,92,0
58,13,1,91,0
50,10,5,11,0
29,20,3,13,1
54,2,5,5,0
55,8,1,30,0
42,26,4,42,0
44,13,2,42,0
37,29,4,65,0
30,8,4,48,0
50,3,1,90,0
43,26,5,48,1
52,3,3,78,0
37,27,4,66,0
37,7,5,10,1
34,1,3,21,0
29,8,4,55,0
22,28,3,42,0
45,13,5,28,0
59,21,2,55,0
29,8,5,14,0
42,23,1,76,0
24,22,3,25,0
46,15,2,74,0
49,28,3,89,0
54,29,3,61,1
43,16,4,43,1
57,15,1,92,1
31,29,3,37,0
26,11,5,63,0
38,2,5,22,0
41,10,4,60,0
56,13,1,96,0
58,17,1,61,1
54,20,5,80,0
37,20,2,52,0
57,4,4,46,1
45,15,4,31,0
58,19,5,78,0
32,4,5,56,0
43,2,2,46,0
42,11,2,36,0
41,0,1,30,0
47,20,4,29,0
51,28,4,79,1
26,8,5,27,1
47,28,1,61,1
54,8,4,56,1
32,3,1,91,0
27,2,1,97,0
30,16,5,35,0
37,1,1,68,0
46,23,2,75,1
41,0,2,37,0
48,7,3,89,0
22,12,5,6,0
21,22,3,22,0
56,14,2,51,1
46,7,3,37,0
49,11,5,88,1
41,21,5,39,1
31,11,1,55,1
31,13,4,22,1
56,14,1,92,1
59,14,5,76,0
55,8,2,34,0
54,18,2,48,0
44,25,1,57,0
42,19,5,14,1
25,28,2,91,0
53,21,5,56,1
56,7,2,53,0
40,20,5,15,0
39,18,3,70,1
55,5,5,62,0
37,19,5,94,0
54,24,1,40,0
29,28,3,37,0
46,18,4,51,0
22,3,1,17,0
29,22,4,44,0
29,6,2,93,0
37,27,4,72,1
21,27,5,46,0
45,3,4,23,0
45,21,1,86,1
59,11,1,98,0
55,12,4,23,0
23,2,1,62,0
57,21,1,27,1
50,11,4,58,0
58,1,3,84,0
54,23,3,69,1
32,1,2,16,0
39,26,1,28,0
57,22,4,38,0
37,8,1,57,0
30,0,5,12,1
32,7,1,22,0
36,22,1,61,0
44,5,3,9,0
39,5,4,30,1
28,21,1,34,1
51,24,3,58,0
41,17,2,17,0
37,16,3,87,1
43,28,3,33,0
57,11,3,7,0
36,5,1,94,0
26,25,1,62,0
28,26,2,80,0
45,7,5,6,0
38,18,5,79,0
45,27,5,32,0
32,9,2,86,0
35,0,5,81,0
46,24,5,90,0
46,28,3,80,0
52,12,1,6,0
30,16,1,11,0
36,2,3,30,0
27,7,3,94,0
37,13,3,92,0
43,2,1,80,1
46,15,5,20,0
41,12,3,27,1
42,19,2,44,0
27,23,3,64,1
34,16,4,77,0
35,12,3,36,0
27,28,1,19,0
29,5,3,17,0
28,16,4,9,1
43,13,2,79,1
49,16,5,78,0
38,29,3,56,0
51,7,4,81,0
50,10,4,45,1
59,19,2,57,0
55,27,1,54,0
38,0,3,19,0
59,25,4,11,1
37,6,2,44,0
34,20,5,32,1
51,20,4,36,1
44,16,2,19,0
55,29,1,89,0
54,9,1,74,1
23,10,4,69,0
57,21,4,8,1
46,29,3,15,0
43,8,2,30,0
59,8,4,65,1
35,23,3,41,0
24,4,3,27,0
49,16,4,97,1
42,8,1,89,0
45,16,2,95,0
33,23,2,44,0
38,20,1,81,1
53,18,4,27,1
36,26,2,20,0
22,6,4,98,1
55,22,4,65,1
54,8,3,72,0
50,6,1,84,0
33,12,4,35,0
33,10,5,57,0
38,13,1,29,0
52,18,2,48,1
52,10,3,16,0
55,12,2,94,0
59,13,2,96,0
49,12,1,13,0
49,0,2,16,0
36,7,4,73,0
30,11,2,58,0
50,18,3,58,0
45,11,3,32,1
59,7,5,60,0
40,7,3,73,0
25,28,2,81,0
21,20,3,62,0
50,12,1,82,0
23,11,3,79,0
34,28,4,46,1
50,15,1,42,0
24,0,5,72,0
38,12,4,57,1
57,25,2,37,1
45,6,2,75,0
21,27,2,60,1
35,25,4,76,0
29,4,4,55,0
35,7,4,78,1
44,24,1,47,0
24,26,1,19,0
32,13,2,42,0
57,22,3,19,0
57,29,2,9,0
26,12,5,97,0
59,14,1,87,1
44,22,4,58,1
31,16,1,55,1
33,14,4,14,0
54,19,5,16,1
45,17,5,8,1
27,17,1,99,1
24,1,4,22,0
28,3,5,84,0
40,29,2,40,0
49,0,2,29,0
30,3,4,91,0
54,17,1,80,1
46,4,5,40,0
23,18,1,71,0
26,14,2,13,0
25,27,5,65,0
25,7,1,57,0
43,19,3,22,0
29,16,4,47,0
55,0,4,39,0
40,11,3,67,0
55,25,2,82,0
38,18,5,8,0
37,14,4,97,1
44,8,3,45,0
23,6,3,49,1
52,1,2,54,0
55,28,2,83,1
58,8,1,32,1
33,9,4,46,0
45,1,1,84,0
29,18,3,80,0
24,10,5,73,1
34,12,5,5,0
57,9,2,43,0
54,13,5,94,1
31,17,5,21,1
23,18,5,95,0
48,21,3,92,1
49,8,5,39,0
29,24,5,50,0
23,6,5,46,0
45,27,1,43,0
54,2,3,94,0
32,19,2,53,1
29,5,1,66,0
35,26,4,42,1
45,20,3,27,0
25,1,3,26,0
31,28,4,8,0
54,5,4,53,0
44,2,4,63,0
35,15,2,77,0
58,29,5,72,0
28,7,3,75,1
25,1,5,91,0
46,16,5,6,1
38,8,4,53,0
26,29,2,92,1
57,11,1,99,0
33,2,2,35,1
48,10,5,44,1
25,0,2,52,0
33,22,4,55,0
37,12,1,47,0
52,14,4,59,0
49,25,1,92,0
23,4,5,53,0
54,20,1,94,1
47,29,1,84,0
33,16,1,61,0
53,24,2,81,0
26,22,2,19,1
44,23,5,31,1
39,24,1,72,1
36,5,3,84,0
48,27,5,68,1
53,20,1,98,0
33,21,1,34,0
45,10,2,40,0
56,17,5,71,0
47,3,1,90,1
58,2,1,90,0
27,12,5,53,0
25,22,3,80,1
51,8,5,59,1
43,20,5,89,0
